rank,ticker,company_name,issuecapitalization_rub,listlevel,e_disclosure_company_id,e_disclosure_company_url,e_disclosure_files_type_4_url,e_disclosure_files_type_3_url,e_disclosure_files_type_2_url,e_disclosure_search_url,e_disclosure_search_terms,link_status,source_board,source_universe,captured_on
80,OZPH,Озон Фармацевтика,52207444848.18,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,OZPH | Озон Фармацевтика,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
81,MRKY,Россети Юг  (ПАО) ао,51021003843.22,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKY | Россети Юг  (ПАО) ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
82,VJGZ,ННК-Варьеганнефтегаз ПАО ао,51016930200.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,VJGZ | ННК-Варьеганнефтегаз ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
83,CNRU,"МКПАО ""Циан""",49942125070.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"CNRU | МКПАО ""Циан""",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
84,AVAN,"АКБ ""АВАНГАРД"" ПАО ао",48420000000.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"AVAN | АКБ ""АВАНГАРД"" ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
85,ELMT,Элемент,47442279443.04,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,ELMT | Элемент,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
86,RENI,Ренессанс Страхование ао,46182524517.6,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,RENI | Ренессанс Страхование ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
87,TNSE,"ПАО ГК ""ТНС энерго"" ао",44900165115.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"TNSE | ПАО ГК ""ТНС энерго"" ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
88,FIXR,ПАО Фикс Прайс,44780000000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,FIXR | ПАО Фикс Прайс,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
89,MRKS,Россети Сибирь ао,44657941890.28,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKS | Россети Сибирь ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
90,MBNK,МТС-Банк ао,43887401971.5,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MBNK | МТС-Банк ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
91,APTK,"ПАО ""Аптечная сеть 36,6"" ао",43066168513.94,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"APTK | ПАО ""Аптечная сеть 36,6"" ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
92,MRKV,Россети Волга ао,40778088463.41,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKV | Россети Волга ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
93,SELG,"ПАО ""Селигдар""  ао",38594100000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"SELG | ПАО ""Селигдар""  ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
94,KMAZ,КАМАЗ ПАО,38331842097.8,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""КАМАЗ"" | КАМАЗ | KMAZ | КАМАЗ ПАО",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
95,MRKK,Россети Сев. Кавказ ао,37680375060.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKK | Россети Сев. Кавказ ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
96,BELU,НоваБев Групп ПАО ао,36807680000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,BELU | НоваБев Групп ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
97,ASTR,Группа Астра ао,36372000000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Группа Астра"" | Группа Астра | ASTR | Группа Астра ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
98,VSEH,ВИ.ру,35245000000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,VSEH | ВИ.ру,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
99,SFIN,ЭсЭфАй ПАО ао,32859011837.8,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,SFIN | ЭсЭфАй ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
100,OGKB,ОГК-2 ПАО ао,32022343541.14,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""ОГК-2"" | ОГК-2 | OGKB | ОГК-2 ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
